tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio 
EOL,EOL Vento Aragano I,Reserva,Leilão 3/2011,"28,80","13,8","13,8","99,50",Rio Grande/RS,Vento,PIE,"110.608.550,00","Consórcio Investidor Vento Aragano I: 
Odebrecht Energias Alternativas S.A.
Central Geradora Eólica Vento Aragano I Ltda."
EOL,EOL Ventos de Santa Rosa,Reserva,Leilão 3/2011,"30,00","13,5","13,5","99,21",Tianguá/CE,Vento,PIE,"115.420.000,00","Consórcio Ventos de Santa Rosa: 
Energimp S.A.
Ventos de Santa Rosa Energias Renováveis S.A."
EOL,EOL Ventos de Santo Inácio,Reserva,Leilão 3/2011,"30,00","13,2","13,2","100,79",Tianguá/CE,Vento,PIE,"115.420.000,00","Consórcio Ventos de Santo Inácio: 
Energimp S.A.
Ventos de Santo Inácio Energias Renováveis S.A."
EOL,EOL Ventos de Santo Uriel,Reserva,Leilão 3/2011,"16,10",9,9,"101,19",Touros/RN,Vento,PIE,"60.934.000,00","Consórcio Desa Santo Uriel:
 Dobrevê Energia S.A. 
Ludesa Participações S.A. 
Ventos de Santo Uriel Energias Renováveis S.A."
EOL,EOL Ventos de São Geraldo,Reserva,Leilão 3/2011,"30,00","14,6","14,6","99,11",Tianguá/CE,Vento,PIE,"115.420.000,00","Consórcio Ventos de São Geraldo:
Energimp S.A.
Ventos de São Geraldo Energias Renováveis S.A."
EOL,EOL Ventos de Sebastião,Reserva,Leilão 3/2011,"30,00","13,4","13,4","99,69",Tianguá/CE,Vento,PIE,"115.420.000,00","Consórcio Ventos de São Sebastião: 
Energimp S.A.
Ventos de São Sebastião Energias Renováveis S.A."
EOL,EOL Ventos da Andorinha,A-5,Leilão 7/2011,"29,90","15,9","15,9","102,49",Campo Formoso/BA,Vento,PIE,"102.940.000,00","Consórcio Ventos da Andorinha Energias Renováveis S.A.: 
Atlantic Energias Renováveis S.A.
Casa dos Ventos Energias Renováveis Ltda."
EOL,EOL Marco dos Ventos 1,A-5,Leilão 7/2011,"28,80","16,3","16,3","104,34",MA ,Vento,PIE,"105.970.000,00",Bioenergy Geradora de Energia S.A.
EOL,EOL Marco dos Ventos 2,A-5,Leilão 7/2011,"28,80","16,3","16,3","104,62",MA ,Vento,PIE,"105.970.000,00",Bioenergy Geradora de Energia S.A.
EOL,EOL Cataventos Embuaca,A-5,Leilão 7/2011,"12,00","6,7","6,2","107,31",CE,Vento,PIE,"48.127.000,00","Consórcio Cataventos Embuaca: 
Cataventos Embuaca - Geração de Energias Renováveis Ltda.
Tecneira - Tecnologias Energéticas, S.A."
EOL,EOL Baixa do Feijão I,A-5,Leilão 7/2011,"30,00","14,8","14,4","97,00",RN,Vento,PIE,"117.027.700,00",EDP Renováveis Brasil S.A.
EOL,EOL Baixa do Feijão  II,A-5,Leilão 7/2011,"30,00","14,4",14,"97,00",RN,Vento,PIE,"117.027.700,00",EDP Renováveis Brasil S.A.
EOL,EOL Baixa do Feijão  III,A-5,Leilão 7/2011,"30,00","14,3","13,9","97,00",RN,Vento,PIE,"117.027.700,00",EDP Renováveis Brasil S.A.
EOL,EOL Baixa do Feijão  IV,A-5,Leilão 7/2011,"30,00","13,7","13,3","97,00",RN,Vento,PIE,"117.027.700,00",EDP Renováveis Brasil S.A.
EOL,EOL Força 1,A-5,Leilão 7/2011,"22,00","9,9","9,9","104,90",RS,Vento,PIE,"79.823.590,00",Enerfín do Brasil Sociedade de Energia Ltda
EOL,EOL Força 2,A-5,Leilão 7/2011,"28,00","12,4","12,4","104,90",RS,Vento,PIE,"102.258.910,00",Enerfín do Brasil Sociedade de Energia Ltda
EOL,EOL Força 3,A-5,Leilão 7/2011,"22,00","9,5","9,5","104,90",RS,Vento,PIE,"79.823.590,00",Enerfín do Brasil Sociedade de Energia Ltda
EOL,EOL Parque Eólico dos Indios 3,A-5,Leilão 7/2011,"22,00","8,8","8,8","103,99",RS,Vento,PIE,"79.823.590,00","Consórcio Elecnor-Enerfín 2011-II: 
Enerfín do Brasil Sociedade de Energia Ltda
Elecnor, S.A."
EOL,EOL Ventos de Campo Formoso I,A-5,Leilão 7/2011,"29,90","15,5","15,5","102,49",BA,Vento,PIE,"102.940.000,00","Consórcio Ventos de Campo Formoso I Energias Renováveis S.A.:
Atlantic Energias Renováveis S.A.
Casa dos Ventos Energias Renováveis Ltda."
EOL,EOL Ventos de Campo Formoso II,A-5,Leilão 7/2011,"29,90","15,5","15,5","102,49",BA,Vento,PIE,"102.940.000,00","Consórcio Ventos de Campo Formoso II Energias Renováveis S.A.:
Atlantic Energias Renováveis S.A.
Casa dos Ventos Energias Renováveis Ltda."
EOL,EOL Macambira I,A-5,Leilão 7/2011,"20,00","9,7","9,7",106.94,RN,Vento,PIE,"73.325.200,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L."
EOL,EOL Macambira II,A-5,Leilão 7/2011,"18,00",9,9,"106,82",RN,Vento,PIE,"70.171.920,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L."
EOL,EOL Parque Eólico Cabeço Preto III,A-5,Leilão 7/2011,"28,00","13,6","13,6","108,12",RN,Vento,PIE,"110.237.000,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L."
EOL,EOL Parque Eólico Cabeço Preto V,A-5,Leilão 7/2011,"28,80",14,14,"106,96",RN,Vento,PIE,"110.237.000,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L."
EOL,EOL Parque Eólico Cabeço Preto VI,A-5,Leilão 7/2011,"19,80","9,5","9,5","106,98",RN,Vento,PIE,"77.580.000,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L."
EOL,EOL Goiabeira,A-5,Leilão 7/2011,"19,20","9,9","8,7","107,70",CE,Vento,PIE,"67.233.000,00","Consórcio Goiabeira: 
Alupar Investimento S.A
Furnas Centrais Elétricas S.A.
Central Eólica Goiabeira Ltda"
EOL,EOL Ventos de Horizonte,A-5,Leilão 7/2011,"14,40","7,3","6,4","107,69",CE,Vento,PIE,"51.940.000,00","Consórcio Horizonte: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Horizonte Ltda"
EOL,EOL Jandaia ,A-5,Leilão 7/2011,"28,80","14,1","11,7","107,70",CE,Vento,PIE,"97.564.000,00","Consórcio Jandaia:
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Jandaia Ltda"
